endTimeMillis	responseTime	latency	sentBytes	receivedBytes	isSuccessful	responseCode
1621117952.247	84	84	85	15	isSuccessful	200
1621117952.248	90	90	169	58	isSuccessful	200
1621117952.276	81	81	169	58	isSuccessful	200
1621117952.290	93	93	85	15	isSuccessful	200
1621117952.290	72	72	85	15	isSuccessful	200
1621117952.290	86	86	169	58	isSuccessful	200
1621117952.290	69	69	85	15	isSuccessful	200
1621117952.301	87	87	85	15	isSuccessful	200
1621117952.322	81	81	85	15	isSuccessful	200
1621117952.325	89	89	85	15	isSuccessful	200
1621117952.336	89	89	169	58	isSuccessful	200
1621117952.337	98	98	85	15	isSuccessful	200
1621117952.337	88	88	85	15	isSuccessful	200
1621117952.343	87	87	169	58	isSuccessful	200
1621117952.343	97	97	85	15	isSuccessful	200
1621117952.363	87	87	85	15	isSuccessful	200
1621117952.376	85	85	169	58	isSuccessful	200
1621117952.381	90	90	85	15	isSuccessful	200
1621117952.384	93	93	169	58	isSuccessful	200
1621117952.393	92	91	169	58	isSuccessful	200
1621117952.393	71	70	85	15	isSuccessful	200
1621117952.393	102	101	169	58	isSuccessful	200
1621117952.413	88	88	85	15	isSuccessful	200
1621117952.416	80	80	85	15	isSuccessful	200
1621117952.419	76	76	85	15	isSuccessful	200
1621117952.420	82	82	169	58	isSuccessful	200
1621117952.426	88	88	85	15	isSuccessful	200
1621117952.429	86	86	85	15	isSuccessful	200
1621117952.453	89	89	85	15	isSuccessful	200
1621117952.460	84	84	85	15	isSuccessful	200
1621117952.464	82	82	85	15	isSuccessful	200
1621117952.471	86	86	85	15	isSuccessful	200
1621117952.475	82	82	85	15	isSuccessful	200
1621117952.477	84	84	169	58	isSuccessful	200
1621117952.483	90	90	85	15	isSuccessful	200
1621117952.501	81	81	85	15	isSuccessful	200
1621117952.507	81	81	169	58	isSuccessful	200
1621117952.508	91	90	85	15	isSuccessful	200
1621117952.508	87	87	85	15	isSuccessful	200
1621117952.510	80	80	169	58	isSuccessful	200
1621117952.516	103	103	169	58	isSuccessful	200
1621117952.530	74	74	169	58	isSuccessful	200
1621117952.536	83	83	169	58	isSuccessful	200
1621117952.537	72	72	169	58	isSuccessful	200
